Gestation Age,Before This Point,On This Day
37w0d,2.1%,0.8%
37w1d,3.6%,0.8%
37w2d,5.8%,0.8%
37w3d,6.6%,0.8%
37w4d,7.4%,0.8%
37w5d,8.1%,0.9%
37w6d,9.1%,1.1%
38w0d,10.2%,1.2%
38w1d,11.4%,1.2%
38w2d,12.6%,1.2%
38w3d,13.5%,1.5%
38w4d,15.3%,1.7%
38w5d,17.0%,2.0%
38w6d,19.0%,2.0%
39w0d,21.0%,2.0%
39w1d,23.0%,2.0%
39w2d,25.0%,2.1%
39w3d,27.1%,2.3%
39w4d,29.6%,2.6%
39w5d,32.3%,3.0%
39w6d,35.4%,3.3%
40w0d,38.8%,3.7%
40w1d,42.5%,4.0%
40w2d,46.5%,4.4%
40w3d,50.9%,4.7%
40w4d,55.6%,5.0%
40w5d,60.6%,5.5%
40w6d,66.1%,5.7%
41w0d,71.8%,4.8%
41w1d,76.6%,3.9%
41w2d,80.5%,3.1%
41w3d,83.6%,2.7%
41w4d,86.3%,2.3%
41w5d,88.6%,1.9%
41w6d,90.5%,1.5%
42w0d,92.4%,1.4%
42w1d,93.8%,1.4%
42w2d,95.2%,1.2%
42w3d,96.6%,1.2%
42w4d,97.6%,0.9%
42w5d,98.3%,0.7%
42w6d,98.8%,0.5%
43w0d,99.2%,0.4%